#,Freq,Mode,Shift,Offset,"TX Freq",Enc/Dec,Tone,Code,Show,Name,Power,Scan,Clk,Step,Scan2,Scan3,Scan4,Scan5,Scan6,Description
273,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
274,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
275,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
276,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
277,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
278,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
279,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
280,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
281,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
282,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
283,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
284,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
285,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
286,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
287,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
288,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
289,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
290,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
291,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
292,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
293,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
294,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
295,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
296,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
297,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
298,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
299,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
300,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
301,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
302,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
303,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
304,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
305,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
306,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
307,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
308,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
309,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
310,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
311,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
312,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
313,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
314,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
315,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
316,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
317,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
318,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
319,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
320,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
321,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
322,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
323,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
324,"0.0000 ",FM,Minus,0,,,,023,Name,,4,0,Off,,,,,,,
